product_id,product_name,brand,type,price,avg_star,num_sold_time
140,Sữa Rửa Mặt Innisfree Trà Xanh Mẫu Mới 150ml,no_brand,no_type,22000.0,4.5,8
141,"Sữa rửa mặt Ý Dĩ Hatomugi dưỡng ẩm, trắng da Moisturizing & Facial Washing 170g",HATOMUGI,dạng sánh,65000.0,4.9,12600
142,Sữa rửa mặt Laroche Posay 50ml,no_brand,no_type,42500.0,5.0,303
143,Gel rửa mặt cho da dầu nhạy cảm La roche Posay Effaclar Purifying Foaming Gel 50ml,La Roche-Posay,no_type,244000.0,5.0,310
144,Sữa rửa mặt nhau thai cừu,no_brand,no_type,19000.0,5.0,72
145,Sữa rửa mặt ý dĩ Reihaku Hatomugi Cleansing Foam,HATOMUGI,no_type,47500.0,4.8,450
146,Sữa rửa mặt Avene các size,Eau Thermale Avène,no_type,355000.0,5.0,2500
147,Sữa rửa mặt trà xanh 150ml mẫu truyền thống,no_brand,no_type,21999.0,4.9,317
148,SỮA RỬA MẶT CERAVE 236ml,no_brand,no_type,68000.0,4.7,230
149,[ xả hàng cũ] SỮA RỬA MẶT GẠO CIVIC RICE MILK THÁI LAN 180ML,Civic,no_type,22000.0,4.9,3500
150,Sữa rửa mặt colagen,no_brand,no_type,23000.0,4.9,11000
151,Sữa rửa mặt Simple,simple,no_type,39000.0,4.7,147
152,Sữa Rửa Mặt Senka Perfect Whip 100G & 120G,SENKA,dạng kem,77000.0,4.9,4700
153,Sữa rửa mặt colagen,no_brand,no_type,20500.0,4.9,577
154,[Mã COSACD6 giảm 10% đơn 400K] Sữa rửa mặt làm sạch sâu dành cho da thường và da khô Cerave Hydrating Cleanser 236ML,CeraVe,dạng sánh,285000.0,4.9,1200
155,Sữa rửa mặt cetaphil 473ml dành cho da dầu và da dầu mụn,no_brand,no_type,230000.0,4.8,24800
156,"Gel rửa mặt BHA Compliment No Problem làm sạch sâu, giảm viêm & mụn 200ml",Compliment,dạng sánh,139000.0,5.0,118700
157,[Mã COSACD6 giảm 10% đơn 400K] Bộ sữa rửa mặt Cerave làm sạch sâu 236ml và sữa dưỡng ẩm cho da thường và da khô 7ml,CeraVe,dạng sánh,285000.0,4.9,835
158,Sữa rửa mặt cerave foaming facial cleanser dành cho da dầu da khô 236ml mẫu mới,no_brand,no_type,220000.0,5.0,504
159,Combo Simple Tẩy trang 200ml + Sữa rửa mặt 150ml + Nước hoa hồng 200ml cho da sạch khỏe đàn hồi [CHÍNH HÃNG ĐỘC QUYỀN],simple,no_type,213000.0,4.9,17000
160,Sữa Rửa Mặt BIOAQUA Vị Đào 100 gram,no_brand,no_type,13000.0,5.0,526
161,A1 Sữa Rửa Mặt Tạo Bọt Qise Amino Acid 60gr Chiết Xuất Tự Nhiên Làm Sạch Da Giúp Da Trắng Sáng,no_brand,dạng lỏng,15000.0,5.0,96
162,[CHÍNH HÃNG] Sữa Rửa Mặt ACERIN Dịu Nhẹ,no_brand,no_type,59000.0,5.0,4800
163,[Tặng Quà] Sữa Rửa Mặt Thảo Mộc 37 Gold Plus - Sữa Rửa Mặt Gold Plus Thảo Mộc 37,Thảo Mộc 37,dạng kem,45000.0,4.9,394
164,Sữa rửa mặt Heyxi Sữa rửa mặt nha đam sạch sâu kiềm dầu dưỡng ẩm HSRM2,no_brand,no_type,13000.0,4.6,99
165,"Sữa rửa mặt dịu nhẹ cho da dầu mụn, da nhạy cảm Grace Face dạng gel pH 5.56 200ml",GRACE FACE,dạng sánh,129000.0,4.9,10100
166,( Chính Hãng ) Sữa rửa mặt gạo Civic Rice Milk Thái Lan 180ml,no_brand,no_type,25000.0,5.0,185
167,Sữa rửa mặt Hazeline Matcha tràm trà tuýp 15g,no_brand,no_type,7500.0,4.3,634
168,"Sữa rửa mặt dịu Cetaphil Gentle Cleanser 1000ml, 500ml.125ml",Cetaphil,no_type,222500.0,5.0,63
169,Sữa rửa mặt Garnier 3 in 1 chính hãng Nga,Garnier,dạng kem,149000.0,5.0,1500
170,"Sữa rửa mặt ngừa mụn nám, dịu nhẹ, bột rửa mặt Mh spa",MH BEAUTY SPA,no_type,92500.0,5.0,84
171,(100g) Sữa Rửa Mặt HAZELINE Chính Hãng Công Ty Mẫu Mới 2022,HAZELINE,no_type,49000.0,5.0,585
172,SỮA RỬA MẶT BỌT BIỂN MAGIC SKIN,MAGIC SKIN,no_type,110000.0,4.9,463
173,Sữa Rửa Mặt Gạo Civic Rice Milk Thái Lan 180ml,no_brand,no_type,23000.0,4.8,242
174,[Hàng chính hãng] Sữa rửa mặt Physiogel 150ml,no_brand,no_type,145000.0,4.9,705
175,[Freeship88] [ Mới Về] Sữa Rửa Mặt Simple Kind To Skin 150ml,no_brand,no_type,38000.0,4.0,44
176,Sữa Rửa Mặt BIOAQUA Vị Đào NO.BQY72653,no_brand,no_type,13999.0,4.9,3700
177,Sữa Rửa Mặt Dịu Nhẹ Simple Kind To Skin Refreshing Facial Wash 150ml,simple,no_type,35000.0,4.3,466
178,Sữa Rửa Mặt Cetaphil Gentle Skin Cleanser 500ml,Cetaphil,no_type,227000.0,4.9,6800
179,Sữa Rửa Mặt Hada Labo Sữa chính hãng công ty 80g,Hada Labo,dạng kem,66500.0,4.9,6800
180,Sữa Rửa Mặt Tràm Trà Phiên Bản EX MEDIHEAL TEATREE CARE 170ML,Mediheal,no_type,177990.0,5.0,154
181,Sữa rửa mặt trà xanh mẫu mới 150ml,no_brand,no_type,25000.0,4.7,401
182,Sữa Rửa Mặt Hạt Ý Dĩ Hatomugi Trắng Da Nhật Bản,no_brand,dạng sữa,45000.0,4.9,24
183,Sữa rửa mặt dạng bùn Naruko trà tràm Tea Tree Purifying Clay Mask and Cleanser in 1 120 gr,Naruko,no_type,185000.0,5.0,64800
184,Sữa rửa mặt trà xanh Rohto Shirochasou Nhật Bản 120g,no_brand,no_type,79000.0,4.9,3700
185,"Sữa rửa mặt 3W Clinic Hàn Quốc mẫu mới 100ml cấp ẩm, làm sạch da loại bỏ bụi bẩn",3W CLINIC,no_type,27200.0,4.9,14800
186,"Sữa Rửa Mặt Tạo Bọt Rau Củ Quả Ginbi Giúp Làm Sạch Lỗ Chân Lông, Làm Sạch Bụi Bẩn Từ Sâu Bên Trong",no_brand,no_type,28999.0,4.8,158
187,[Mẫu Mới Nhất 2022] Sữa Rửa Mặt Innisfree Jeju Volcanic Pore Cleansing Foam,Innisfree,no_type,153500.0,4.9,1200
188,"Sữa rửa mặt than sạch mụn, trắng da BENEW CHARCOAL Hàn quốc cao cấp 100ml/Hộp",Benew,no_type,54000.0,5.0,78
189,[DATE 2024] Sữa rửa mặt Ohui hồng Miracle 80ml,O HUI,no_type,119000.0,5.0,406
190,SỬA RỬA MẶT INNIS TRÀ XANH,no_brand,no_type,26500.0,4.8,5400
191,Gel Rửa Mặt Hazeline Ngừa Mụn Dịu Nhẹ Matcha Tràm Trà,HAZELINE,no_type,35000.0,4.9,45
192,[TIẾT KIỆM HƠN] Bộ 02 Sữa rửa mặt tạo bọt chiết xuất tơ tằm trắng Senka Perfect Whip 120g/chai,SENKA,no_type,168000.0,4.9,8900
193,Kem Rửa Mặt Dưỡng Ẩm Cho Mọi Loại Da Hada Labo Advanced Nourish Cream Cleanser 80g dưỡng ẩm tối ưu - Hasaki,Hada Labo,dạng kem,58000.0,4.9,18900
194,Sữa Rửa Mặt Cetaphil Gentle Skin Cleanser 29ml,Cetaphil,no_type,45000.0,5.0,276
195,SỮA RỬA MẶT TẠO BỌT BIOAQUA CHIẾT XUẤT NHA ĐAM CÓ ĐẦU CỌ SILICON MASSAGE TẨY TRANG LÀM SẠCH SÂU Nội Địa Trung,no_brand,dạng xịt,45000.0,4.9,436
196,💁SỮA RỬA MẶT GẠO HỒNG THE FACE SHOP tuýp lớn 150ml,no_brand,dạng kem,86000.0,4.7,177
