shopid,is_shopee_verified,is_preferred_plus_seller,is_official_shop,item_count,rating_star,follower_count,show_official_shop_label,rating_bad,rating_good,rating_normal
907,True,True,False,1242,4.91863,14875,False,119,15330,190
908,False,False,False,406,4.884066,126,False,27,1816,27
909,True,False,False,455,4.771972,4481,False,84,3911,145
910,True,False,False,164,4.941792,26545,False,48,16251,162
911,True,False,False,706,4.918812,11665,False,361,40038,383
912,True,True,False,746,4.93576,995,False,5,983,8
913,True,True,False,341,4.869115,10740,False,57,5234,118
914,True,False,False,136,4.910361,644,False,21,3139,46
915,False,False,False,495,4.885289,13067,False,68,7159,157
916,True,False,False,1261,4.94655,11099,False,33,10426,94
917,False,False,True,20,4.928805,4987,True,15,5135,21
918,False,False,False,375,4.890153,44794,False,334,40234,696
919,False,False,False,464,4.6341,131,False,28,530,26
920,True,True,False,400,4.957066,2770,False,39,14741,109
921,True,False,False,484,4.967648,100508,False,58,47992,241
922,False,False,False,1134,4.826656,541,False,26,1307,27
923,True,False,False,1709,4.938159,129994,False,45,8565,82
924,True,False,False,993,4.912121,12183,False,74,10858,170
925,True,False,False,677,4.948585,29916,False,82,18933,134
926,True,False,False,1718,4.936259,50600,False,63,12998,136
927,True,False,False,649,4.936005,6676,False,10,1649,16
928,True,True,False,128,4.975222,20628,False,2,3867,14
929,True,True,False,271,4.991943,5555,False,4,14884,17
930,False,False,False,1475,4.882462,6596,False,279,27858,532
931,False,False,False,539,4.603043,787,False,216,3879,250
932,True,False,False,854,4.935627,6174,False,21,3680,33
933,True,False,False,3670,4.953724,7548,False,101,35508,241
934,False,False,False,108,4.815934,189,False,7,397,9
935,False,False,False,312,4.960309,3124,False,0,925,10
936,True,False,False,557,4.903032,17490,False,198,17351,232
937,True,False,False,1104,4.900335,110270,False,589,91927,1683
938,True,False,False,952,4.931463,114191,False,182,51325,618
939,False,False,True,237,4.946097,15373,True,45,19572,165
940,True,True,False,679,4.958192,16402,False,33,12600,73
941,False,False,False,41,4.92963,271,False,7,2079,6
942,True,False,False,93,4.847206,562,False,29,1637,42
943,False,False,False,361,4.944108,2457,False,16,3021,27
944,False,False,False,2,4.171617,717,False,44,252,29
945,True,False,False,1063,4.949341,488,False,2,1801,11
946,True,False,False,83,4.95596,3324,False,3,1877,13
947,True,False,False,468,4.844006,23939,False,160,9447,236
948,False,False,False,308,4.945743,11891,False,4,1189,18
949,True,False,False,564,4.944211,8061,False,26,5584,45
950,False,False,True,116,4.91437,82951,True,15,1730,24
951,True,False,False,193,4.957194,8361,False,2,1704,13
952,False,False,True,153,4.952412,23755,True,13,7743,62
953,False,False,True,29,4.931677,1320,True,2,159,0
954,True,False,False,252,4.967757,3300,False,4,2269,12
955,True,False,False,108,4.934998,8714,False,30,4097,35
956,False,False,False,44,4.93808,72,False,2,324,2
957,False,False,False,358,4.726415,1156,False,93,2336,86
958,True,False,False,999,4.895916,2664,False,25,2055,29
959,True,False,False,303,4.910969,2545,False,42,4791,55
960,False,False,False,344,4.981567,10565,False,0,436,2
961,True,False,False,664,4.919427,18717,False,32,5596,73
963,False,False,False,15,4.951442,1758,False,4,664,4
964,True,False,False,649,4.850447,7936,False,110,8749,196
965,False,False,False,23,4.570891,2235,False,51,810,42
966,False,False,False,103,4.859133,327,False,13,1343,37
967,False,False,False,467,4.919392,4079,False,30,4369,50
968,False,False,False,505,4.988827,11681,False,0,694,1
969,False,False,False,95,4.934194,481,False,7,1563,17
970,True,False,False,505,4.92581,24115,False,107,18557,223
971,True,True,False,1034,4.935246,32843,False,69,27178,351
972,False,False,True,27,4.941822,16310,True,5,2109,27
973,False,False,True,69,4.864286,8139,True,8,413,6
974,False,False,True,102,4.960894,21156,True,6,2562,14
975,False,False,False,34,4.857143,16,False,0,7,0
1110,False,False,True,37,4.915246,121666,True,31,4257,69
976,False,False,False,201,4.889381,871,False,2,228,4
977,True,True,False,991,4.965886,140518,False,55,42152,251
978,True,False,False,296,4.948161,46993,False,87,32781,270
979,True,False,False,612,4.950827,16679,False,25,8540,68
980,True,False,False,156,4.892411,8439,False,30,4052,82
981,True,False,False,477,4.959818,3596,False,28,12788,85
982,False,False,False,147,4.92511,1265,False,1,248,3
983,True,True,False,219,4.895074,57456,False,75,10495,181
984,False,False,False,18,4.886624,15883,False,14,1454,11
985,True,False,False,100,4.970257,3760,False,4,1379,3
986,False,False,False,549,4.880101,6103,False,55,5554,133
987,False,False,False,494,4.94446,12538,False,40,7605,59
988,True,False,False,1559,4.821366,129022,False,1611,108106,3596
989,False,False,False,112,4.951031,270,False,1,398,3
990,False,False,False,213,4.834783,627,False,18,971,24
991,True,False,False,556,4.946829,82715,False,131,46557,397
992,False,False,False,287,4.941288,14184,False,13,3701,30
993,False,False,False,53,4.982022,1645,False,1,921,1
994,True,False,False,813,4.970047,62905,False,95,64698,302
995,True,True,False,524,4.942446,191424,False,796,192434,1762
996,False,False,False,182,4.959814,2839,False,4,2379,17
997,True,False,False,64,4.983028,4195,False,3,3897,9
998,True,False,False,407,4.967788,10195,False,9,2844,11
999,True,False,False,83,4.851064,4038,False,3,192,6
1000,True,False,False,373,4.945017,8735,False,19,5262,50
1001,False,False,False,59,5.0,61,False,0,18,0
1002,True,False,False,456,4.984169,40718,False,7,15901,32
1003,False,False,False,3151,4.586304,32386,False,183,2572,90
1004,True,True,False,16,4.904271,4399,False,3,685,8
1005,True,False,False,157,4.92387,3525,False,15,3344,41
1006,True,False,False,974,4.776538,10763,False,204,8284,303
1007,True,True,False,262,4.828785,24123,False,72,4119,110
1008,False,False,True,63,4.959672,55109,True,49,30897,204
1009,False,False,False,867,4.840677,48307,False,669,34826,856
1010,False,False,False,214,4.9613,251,False,3,674,4
1011,False,False,False,229,4.936161,2047,False,8,2622,31
1012,True,False,False,162,4.868066,335,False,9,684,15
1013,False,False,False,67,4.797605,5355,False,19,835,28
1014,True,True,False,930,4.922903,137687,False,281,58178,797
1015,True,False,False,1092,4.982901,11484,False,48,55167,132
1016,True,True,False,1210,4.94265,8858,False,27,5364,47
1017,True,False,False,721,4.939053,15970,False,100,21728,234
1018,False,False,False,190,4.938944,50631,False,7,1390,13
1019,True,True,False,322,4.931792,8582,False,17,4258,57
1020,False,False,False,680,4.904051,35664,False,17,1929,32
1021,False,False,False,322,4.776272,2682,False,88,3267,115
1072,True,False,False,405,4.961788,7489,False,12,4689,22
1022,False,False,False,1882,4.951175,23066,False,69,24318,199
1023,True,False,False,391,4.927265,7478,False,33,4638,47
1024,True,True,False,714,4.961289,51906,False,29,14935,67
